Manufacturer	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
Alcatel						2631	6967																					
Apple																23	12	24889	465983	892632	1301332	1507859	191426	2258506	216064	2149244	2090484	2074751
BBK																									724086			
Ericsson						15914	23827	29785	41467	26956																		
HTC																			246884	432669	321218							
Huawei																			238147	406634	472883	532951	70499	1040947	1328249	1505343	2029014	2406155
Lenovo																						452847		727482				
Lenovo/Motorola																							84029					
LG												262137	422768	549246	61986	785763	1025554	1220553	1141546	863709	580159	690245	76096					
Micromax																							37094					
Microsoft																							18566					
Motorola	4		12		60	25328	32319	47818	60094	59097	64640	75177	104124	144920	209251	164307	10659	584752	385537	40269	339163							
NEC	2		6																									
Nokia	3	5	9	13	18	20593	37374	76335	126369	139672	151422	180672	207231	265615	344916	435453	472315	4408816	4613182	4224783	333938	2507931						
Oppo																									852995	112124	1188375	1186932
Others																	248189	2991792	4885693	5973269	5873996	61371	62936	6353685	6823143	6380047	6070490	565630
Panasonic						8627	13397	15581																				
RIM																			474516	515419	342103							
Samsung							4686	17687	20639	28234	41684	54475	85238	103754	116480	154541	199182	235772	2810658	3139042	3846312	4444442	392546	3204	3064466	3212633	2950437	296194
Siemens									26989	29753	34618	43754	48456	28591														
Sony																						375957	37791					
Sony Ericsson																	934145	548734	418192	325975								
TCL																					371766	495313	64026					
Vivo																										996848		
Xiaomi																							56529	656186			1223870	1260492
Yulong																						326014						
ZTE																			287687	568818	673444	598988	5391					
