Brand;Year;# Models;Sales
Acer           ;2009;10;
Acer           ;2010;11;
Acer           ;2011;9;
Acer           ;2012;12;
Acer           ;2013;12;
Acer           ;2014;20;
Acer           ;2015;18;
Acer           ;2016;7;
Alcatel        ;1992;0;
Alcatel        ;1993;0;
Alcatel        ;1994;0;
Alcatel        ;1995;0;
Alcatel        ;1996;0;
Alcatel        ;1997;1;2631
Alcatel        ;1998;8;6967
Alcatel        ;1999;1;
Alcatel        ;2000;9;
Alcatel        ;2001;2;
Alcatel        ;2002;3;
Alcatel        ;2003;7;
Alcatel        ;2004;11;
Alcatel        ;2005;17;
Alcatel        ;2006;10;
Alcatel        ;2007;18;
Alcatel        ;2008;21;
Alcatel        ;2009;23;
Alcatel        ;2010;25;
Alcatel        ;2011;39;
Alcatel        ;2012;29;
Alcatel        ;2013;35;
Alcatel        ;2014;42;
Alcatel        ;2015;32;
Alcatel        ;2016;21;
Alcatel        ;2017;5;
Alcatel        ;2018;0;
Alcatel        ;2019;0;
Allview        ;2011;1;
Allview        ;2012;9;
Allview        ;2013;21;
Allview        ;2014;37;
Allview        ;2015;23;
Allview        ;2016;25;
Allview        ;2017;4;
Amazon         ;2011;1;
Amazon         ;2012;3;
Amazon         ;2013;3;
Amazon         ;2014;4;
Amazon         ;2015;3;
Amoi           ;2003;7;
Amoi           ;2004;3;
Amoi           ;2006;24;
Amoi           ;2007;14;
Apple          ;1992;0;
Apple          ;1993;0;
Apple          ;1994;0;
Apple          ;1995;0;
Apple          ;1996;0;
Apple          ;1997;0;
Apple          ;1998;0;
Apple          ;1999;0;
Apple          ;2000;0;
Apple          ;2001;0;
Apple          ;2002;0;
Apple          ;2003;0;
Apple          ;2004;0;
Apple          ;2005;0;
Apple          ;2006;0;
Apple          ;2007;1;23
Apple          ;2008;1;12
Apple          ;2009;1;24889
Apple          ;2010;3;465983
Apple          ;2011;5;892632
Apple          ;2012;7;1301332
Apple          ;2013;4;1507859
Apple          ;2014;10;191426
Apple          ;2015;4;2258506
Apple          ;2016;12;216064
Apple          ;2017;3;2149244
Apple          ;2018;0;2090484
Apple          ;2019;0;2074751
Archos         ;2013;8;
Archos         ;2014;12;
Archos         ;2015;3;
Archos         ;2016;3;
Archos         ;2017;5;
Asus           ;2005;1;
Asus           ;2006;10;
Asus           ;2007;5;
Asus           ;2008;7;
Asus           ;2009;2;
Asus           ;2011;3;
Asus           ;2012;12;
Asus           ;2013;16;
Asus           ;2014;28;
Asus           ;2015;32;
Asus           ;2016;24;
Asus           ;2017;8;
AT&T           ;2006;1;
AT&T           ;2007;2;
AT&T           ;2008;1;
BBK            ;1992;0;
BBK            ;1993;0;
BBK            ;1994;0;
BBK            ;1995;0;
BBK            ;1996;0;
BBK            ;1997;0;
BBK            ;1998;0;
BBK            ;1999;0;
BBK            ;2000;0;
BBK            ;2001;0;
BBK            ;2002;0;
BBK            ;2003;0;
BBK            ;2004;0;
BBK            ;2005;0;
BBK            ;2006;0;
BBK            ;2007;0;
BBK            ;2008;0;
BBK            ;2009;0;
BBK            ;2010;0;
BBK            ;2011;0;
BBK            ;2012;0;
BBK            ;2013;0;
BBK            ;2014;0;
BBK            ;2015;0;
BBK            ;2016;0;724086
BBK            ;2017;0;
BBK            ;2018;0;
BBK            ;2019;0;
Benefon        ;1999;3;
Benefon        ;2000;4;
Benefon        ;2006;1;
Benefon        ;2007;1;
BenQ           ;2003;1;
BenQ           ;2004;10;
BenQ           ;2005;7;
BenQ           ;2006;2;
BenQ           ;2007;5;
BenQ           ;2008;4;
BenQ           ;2013;2;
BenQ           ;2014;3;
BenQ           ;2015;1;
BenQ-Siemens   ;2006;22;
BenQ-Siemens   ;2007;5;
Bird           ;2003;2;
Bird           ;2004;12;
Bird           ;2005;19;
Bird           ;2006;3;
Bird           ;2007;25;
BlackBerry     ;78;1;
BlackBerry     ;2003;3;
BlackBerry     ;2004;5;
BlackBerry     ;2005;1;
BlackBerry     ;2006;5;
BlackBerry     ;2007;8;
BlackBerry     ;2008;6;
BlackBerry     ;2009;7;
BlackBerry     ;2010;9;
BlackBerry     ;2011;13;
BlackBerry     ;2012;4;
BlackBerry     ;2013;6;
BlackBerry     ;2014;4;
BlackBerry     ;2015;3;
BlackBerry     ;2016;2;
BlackBerry     ;2017;2;
BLU            ;2009;1;
BLU            ;2010;21;
BLU            ;2011;26;
BLU            ;2012;13;
BLU            ;2013;32;
BLU            ;2014;31;
BLU            ;2015;36;
BLU            ;2016;56;
BLU            ;2017;18;
Bosch          ;1996;3;
Bosch          ;1997;2;
Bosch          ;1998;1;
Bosch          ;1999;4;
BQ             ;2015;6;
BQ             ;2016;4;
BQ             ;2017;2;
Casio          ;2010;1;
Casio          ;2011;3;
Casio          ;2013;1;
Cat            ;2013;3;
Cat            ;2014;2;
Cat            ;2015;3;
Cat            ;2016;1;
Celkon         ;2010;11;
Celkon         ;2011;48;
Celkon         ;2012;50;
Celkon         ;2013;50;
Celkon         ;2014;49;
Celkon         ;2015;21;
Chea           ;2003;10;
Chea           ;2004;2;
Coolpad        ;2015;5;
Coolpad        ;2016;13;
Coolpad        ;2017;2;
Dell           ;2009;3;
Dell           ;2010;6;
Dell           ;2011;4;
Dell           ;2012;1;
Dell           ;2013;3;
Dell           ;2014;1;
Dell           ;2015;1;
Emporia        ;2010;1;
Emporia        ;2011;3;
Emporia        ;2012;4;
Emporia        ;2013;3;
Emporia        ;2014;4;
Energizer      ;2015;5;
Ericsson       ;1992;0;
Ericsson       ;1993;0;
Ericsson       ;1994;1;
Ericsson       ;1995;7;
Ericsson       ;1996;3;
Ericsson       ;1997;4;15914
Ericsson       ;1998;2;23827
Ericsson       ;1999;6;29785
Ericsson       ;2000;7;41467
Ericsson       ;2001;9;26956
Ericsson       ;2002;0;
Ericsson       ;2003;0;
Ericsson       ;2004;0;
Ericsson       ;2005;0;
Ericsson       ;2006;0;
Ericsson       ;2007;0;
Ericsson       ;2008;0;
Ericsson       ;2009;0;
Ericsson       ;2010;0;
Ericsson       ;2011;0;
Ericsson       ;2012;0;
Ericsson       ;2013;0;
Ericsson       ;2014;0;
Ericsson       ;2015;0;
Ericsson       ;2016;0;
Ericsson       ;2017;0;
Ericsson       ;2018;0;
Ericsson       ;2019;0;
Ericsson       ;2400;1;
Eten           ;2004;4;
Eten           ;2005;1;
Eten           ;2006;6;
Eten           ;2007;2;
Eten           ;2008;9;
Fujitsu Siemens;2006;2;
Garmin-Asus    ;2009;2;
Garmin-Asus    ;2010;3;
Gigabyte       ;2005;11;
Gigabyte       ;2006;3;
Gigabyte       ;2007;2;
Gigabyte       ;2008;4;
Gigabyte       ;2009;4;
Gigabyte       ;2010;3;
Gigabyte       ;2011;5;
Gigabyte       ;2012;3;
Gigabyte       ;2013;10;
Gigabyte       ;2014;10;
Gigabyte       ;2015;7;
Gionee         ;2013;16;
Gionee         ;2014;13;
Gionee         ;2015;18;
Gionee         ;2016;14;
Gionee         ;2017;8;
Google         ;2015;1;
Google         ;2016;2;
Haier          ;2003;1;
Haier          ;2004;18;
Haier          ;2005;9;
Haier          ;2006;8;
Haier          ;2010;14;
HP             ;2004;4;
HP             ;2005;2;
HP             ;2006;5;
HP             ;2007;2;
HP             ;2008;1;
HP             ;2009;3;
HP             ;2011;6;
HP             ;2013;5;
HP             ;2014;9;
HP             ;2015;3;
HP             ;2016;1;
HTC            ;1992;0;
HTC            ;1993;0;
HTC            ;1994;0;
HTC            ;1995;0;
HTC            ;1996;0;
HTC            ;1997;0;
HTC            ;1998;0;
HTC            ;1999;0;
HTC            ;2000;0;
HTC            ;2001;0;
HTC            ;2002;0;
HTC            ;2003;0;
HTC            ;2004;0;
HTC            ;2005;0;
HTC            ;2006;8;
HTC            ;2007;10;
HTC            ;2008;14;
HTC            ;2009;18;
HTC            ;2010;19;246884
HTC            ;2011;37;432669
HTC            ;2012;32;321218
HTC            ;2013;22;
HTC            ;2014;32;
HTC            ;2015;25;
HTC            ;2016;16;
HTC            ;2017;4;
HTC            ;2018;0;
HTC            ;2019;0;
Huawei         ;1992;0;
Huawei         ;1993;0;
Huawei         ;1994;0;
Huawei         ;1995;0;
Huawei         ;1996;0;
Huawei         ;1997;0;
Huawei         ;1998;0;
Huawei         ;1999;0;
Huawei         ;2000;0;
Huawei         ;2001;0;
Huawei         ;2002;0;
Huawei         ;2003;0;
Huawei         ;2004;0;
Huawei         ;2005;0;
Huawei         ;2006;0;
Huawei         ;2007;2;
Huawei         ;2008;11;
Huawei         ;2009;6;
Huawei         ;2010;16;238147
Huawei         ;2011;27;406634
Huawei         ;2012;31;472883
Huawei         ;2013;29;532951
Huawei         ;2014;36;70499
Huawei         ;2015;29;1040947
Huawei         ;2016;32;1328249
Huawei         ;2017;21;1505343
Huawei         ;2018;0;2029014
Huawei         ;2019;0;2406155
i-mate         ;2004;8;
i-mate         ;2005;6;
i-mate         ;2006;8;
i-mate         ;2007;7;
i-mate         ;2008;4;
i-mate         ;2009;1;
i-mobile       ;2006;1;
i-mobile       ;2007;6;
i-mobile       ;2008;12;
i-mobile       ;2009;13;
i-mobile       ;2010;5;
Icemobile      ;2010;1;
Icemobile      ;2011;18;
Icemobile      ;2012;16;
Icemobile      ;2013;8;
Icemobile      ;2014;12;
Icemobile      ;2015;4;
Icemobile      ;2016;1;
Innostream     ;2003;3;
Innostream     ;2004;12;
Innostream     ;2005;3;
iNQ            ;2009;3;
iNQ            ;2011;2;
Intex          ;2014;3;
Intex          ;2015;11;
Intex          ;2016;1;
Jolla          ;2013;1;
Jolla          ;2014;1;
Jolla          ;2016;1;
Karbonn        ;2012;28;
Karbonn        ;2013;20;
Karbonn        ;2014;11;
Karbonn        ;2015;1;
Kyocera        ;2000;1;
Kyocera        ;2008;5;
Kyocera        ;2011;7;
Kyocera        ;2012;2;
Kyocera        ;2013;3;
Kyocera        ;2014;3;
Kyocera        ;2015;1;
Kyocera        ;2016;1;
Lava           ;2013;12;
Lava           ;2014;27;
Lava           ;2015;25;
Lava           ;2016;34;
Lava           ;2017;6;
LeEco          ;2016;7;
LeEco          ;2017;2;
Lenovo         ;1992;0;
Lenovo         ;1993;0;
Lenovo         ;1994;0;
Lenovo         ;1995;0;
Lenovo         ;1996;0;
Lenovo         ;1997;0;
Lenovo         ;1998;0;
Lenovo         ;1999;0;
Lenovo         ;2000;0;
Lenovo         ;2001;0;
Lenovo         ;2002;0;
Lenovo         ;2003;0;
Lenovo         ;2004;0;
Lenovo         ;2005;0;
Lenovo         ;2006;0;
Lenovo         ;2007;0;
Lenovo         ;2008;0;
Lenovo         ;2009;0;
Lenovo         ;2010;0;
Lenovo         ;2011;13;
Lenovo         ;2012;13;
Lenovo         ;2013;31;452847
Lenovo         ;2014;36;
Lenovo         ;2015;36;727482
Lenovo         ;2016;31;
Lenovo         ;2017;5;
Lenovo         ;2018;0;
Lenovo         ;2019;0;
Lenovo/Motorola;1992;0;
Lenovo/Motorola;1993;0;
Lenovo/Motorola;1994;0;
Lenovo/Motorola;1995;0;
Lenovo/Motorola;1996;0;
Lenovo/Motorola;1997;0;
Lenovo/Motorola;1998;0;
Lenovo/Motorola;1999;0;
Lenovo/Motorola;2000;0;
Lenovo/Motorola;2001;0;
Lenovo/Motorola;2002;0;
Lenovo/Motorola;2003;0;
Lenovo/Motorola;2004;0;
Lenovo/Motorola;2005;0;
Lenovo/Motorola;2006;0;
Lenovo/Motorola;2007;0;
Lenovo/Motorola;2008;0;
Lenovo/Motorola;2009;0;
Lenovo/Motorola;2010;0;
Lenovo/Motorola;2011;0;
Lenovo/Motorola;2012;0;
Lenovo/Motorola;2013;0;
Lenovo/Motorola;2014;0;84029
Lenovo/Motorola;2015;0;
Lenovo/Motorola;2016;0;
Lenovo/Motorola;2017;0;
Lenovo/Motorola;2018;0;
Lenovo/Motorola;2019;0;
LG             ;1992;0;
LG             ;1993;0;
LG             ;1994;0;
LG             ;1995;0;
LG             ;1996;0;
LG             ;1997;0;
LG             ;1998;0;
LG             ;1999;0;
LG             ;2000;0;
LG             ;2001;0;
LG             ;2002;10;
LG             ;2003;12;262137
LG             ;2004;23;422768
LG             ;2005;36;549246
LG             ;2006;36;61986
LG             ;2007;30;785763
LG             ;2008;46;1025554
LG             ;2009;55;1220553
LG             ;2010;81;1141546
LG             ;2011;60;863709
LG             ;2012;41;580159
LG             ;2013;34;690245
LG             ;2014;52;76096
LG             ;2015;29;
LG             ;2016;30;
LG             ;2017;7;
LG             ;2018;0;
LG             ;2019;0;
LG             ;2522;1;
Maxon          ;1999;8;
Maxon          ;2000;4;
Maxon          ;2003;11;
Maxon          ;2004;8;
Maxwest        ;2013;13;
Maxwest        ;2014;10;
Maxwest        ;2015;10;
Maxwest        ;2016;8;
Meizu          ;2011;1;
Meizu          ;2012;2;
Meizu          ;2013;1;
Meizu          ;2014;3;
Meizu          ;2015;6;
Meizu          ;2016;15;
Meizu          ;2017;3;
Micromax       ;1992;0;
Micromax       ;1993;0;
Micromax       ;1994;0;
Micromax       ;1995;0;
Micromax       ;1996;0;
Micromax       ;1997;0;
Micromax       ;1998;0;
Micromax       ;1999;0;
Micromax       ;2000;0;
Micromax       ;2001;0;
Micromax       ;2002;0;
Micromax       ;2003;0;
Micromax       ;2004;0;
Micromax       ;2005;0;
Micromax       ;2006;0;
Micromax       ;2007;0;
Micromax       ;2008;1;
Micromax       ;2009;9;
Micromax       ;2010;33;
Micromax       ;2011;19;
Micromax       ;2012;40;
Micromax       ;2013;43;
Micromax       ;2014;34;37094
Micromax       ;2015;49;
Micromax       ;2016;25;
Micromax       ;2017;8;
Micromax       ;2018;0;
Micromax       ;2019;0;
Microsoft      ;1992;0;
Microsoft      ;1993;0;
Microsoft      ;1994;0;
Microsoft      ;1995;0;
Microsoft      ;1996;0;
Microsoft      ;1997;0;
Microsoft      ;1998;0;
Microsoft      ;1999;0;
Microsoft      ;2000;0;
Microsoft      ;2001;0;
Microsoft      ;2002;0;
Microsoft      ;2003;0;
