Model;Brand;year;quarter;month;month_id;Audio_jack;battery_removable;battery_amps;battery_type;Bluetooth;Display_type;aspect_ratio;screen_body_ratio;GPS;Radio;ram_MB;im_MB;primary_camera_MP;primary_camera_autofocus;primary_camera_LED_flash;primary_camera_VGA;sensor_accelerometer;sensor_fingerprint;sensor_fingerprint_mounted;sensor_heart_rate;sensor_iris_scanner;sensor_proximity;sensor_temperature
_X960;Acer;2009;1;February;2;N;Y;1530;Li-Po;Y;TFT resistive touchscreen  65K colors;1.3333333333;38;Y;N;128.0;256.0;3.15;Y;Y;N;N;N;null;N;N;N;N
_DX900;Acer;2009;1;February;2;N;Y;1530;Li-Po;Y;TFT resistive touchscreen  65K colors;1.3333333333;37;Y;N;128.0;256.0;3.15;Y;Y;N;Y;N;null;N;N;N;N
_F900;Acer;2009;1;February;2;N;Y;1530;Li-Ion;Y;TFT resistive touchscreen  65K colors;1.6666666667;55;Y;Y;128.0;256.0;3.15;Y;Y;N;Y;N;null;N;N;N;N
_M900;Acer;2009;1;February;2;N;Y;1530;Li-Ion;Y;TFT resistive touchscreen  65K colors;1.6666666667;55;Y;Y;null;null;5.0;Y;Y;N;N;Y;front;N;N;N;N
_DX650;Acer;2009;2;June;6;N;Y;1260;Li-Ion;Y;TFT resistive touchscreen  65K colors;1.3333333333;37;Y;Y;null;null;2.0;N;N;N;Y;N;null;N;N;N;N
_beTouch E200;Acer;2009;4;October;10;N;Y;1140;Li-Ion;Y;TFT  65K colors;1.6666666667;43;Y;N;256.0;512.0;3.15;N;N;N;N;N;null;N;N;N;N
_neoTouch;Acer;2009;4;October;10;Y;Y;1350;Li-Po;Y;TFT resistive touchscreen  65K colors;1.6666666667;55;Y;Y;256.0;512.0;5.0;Y;Y;N;Y;N;null;N;N;Y;N
_Liquid;Acer;2009;4;October;10;Y;Y;1350;Li-Ion;Y;TFT capacitive touchscreen  256K colors;1.6666666667;48;Y;N;256.0;512.0;5.0;Y;N;N;Y;N;null;N;N;Y;N
_beTouch E101;Acer;2009;4;October;10;N;Y;1140;Li-Ion;Y;TFT resistive touchscreen  65K colors;1.6666666667;46;Y;N;256.0;512.0;2.0;N;N;N;N;N;null;N;N;N;N
_beTouch E100;Acer;2009;4;October;10;N;Y;1140;Li-Ion;Y;TFT resistive touchscreen  65K colors;1.6666666667;46;Y;N;256.0;512.0;2.0;N;N;N;N;N;null;N;N;N;N
_beTouch E400;Acer;2010;1;February;2;Y;Y;1090;Li-Po;Y;TFT resistive touchscreen  256K colors;1.5;44;Y;Y;256.0;512.0;3.15;Y;N;N;Y;N;null;N;N;N;N
_neoTouch P400;Acer;2010;1;February;2;Y;Y;1090;Li-Po;Y;TFT resistive touchscreen  256K colors;1.5;44;Y;Y;256.0;512.0;3.15;Y;N;N;Y;N;null;N;N;N;N
_neoTouch P300;Acer;2010;1;February;2;Y;Y;970;Li-Po;Y;TFT resistive touchscreen  65K colors;1.6666666667;48;Y;N;256.0;512.0;3.15;Y;N;N;Y;N;null;N;N;N;N
_beTouch E110;Acer;2010;1;February;2;Y;Y;1500;Li-Ion;Y;TFT resistive touchscreen  256K colors (65K effective);1.3333333333;43;Y;Y;256.0;256.0;3.15;N;N;N;N;N;null;N;N;N;N
_Liquid E;Acer;2010;1;February;2;Y;Y;1350;Li-Ion;Y;TFT capacitive touchscreen  256K colors;1.6666666667;48;Y;N;512.0;512.0;5.0;Y;N;N;Y;N;null;N;N;Y;N
_beTouch E130;Acer;2010;2;June;6;Y;Y;1500;Li-Ion;Y;TFT touchscreen  65K colors;1.3333333333;29;Y;Y;256.0;512.0;3.15;N;N;N;Y;N;null;N;N;N;N
